Time,Pulse
02:00:00_000,51
02:00:00_010,51
02:00:00_020,51
02:00:00_030,51
02:00:00_040,51
02:00:00_050,51
02:00:00_060,51
02:00:00_070,51
02:00:00_080,51
02:00:00_090,51
02:00:00_100,51
02:00:00_110,51
02:00:00_120,51
02:00:00_130,51
02:00:00_140,51
02:00:00_150,51
02:00:00_160,51
02:00:00_170,51
02:00:00_180,51
02:00:00_190,51
02:00:00_200,51
02:00:00_210,51
02:00:00_220,51
02:00:00_230,51
02:00:00_240,51
02:00:00_250,51
02:00:00_260,51
02:00:00_270,51
02:00:00_280,51
02:00:00_290,51
02:00:00_300,51
02:00:00_310,51
02:00:00_320,51
02:00:00_330,51
02:00:00_340,51
02:00:00_350,51
02:00:00_360,51
02:00:00_370,51
02:00:00_380,51
02:00:00_390,51
02:00:00_400,51
02:00:00_410,51
02:00:00_420,51
02:00:00_430,51
02:00:00_440,51
02:00:00_450,51
02:00:00_460,51
02:00:00_470,51
02:00:00_480,51
02:00:00_490,51
02:00:00_500,51
02:00:00_510,51
02:00:00_520,51
02:00:00_530,51
02:00:00_540,51
02:00:00_550,51
02:00:00_560,51
02:00:00_570,51
02:00:00_580,51
02:00:00_590,51
02:00:00_600,51
02:00:00_610,51
02:00:00_620,51
02:00:00_630,51
02:00:00_640,51
02:00:00_650,51
02:00:00_660,51
02:00:00_670,51
02:00:00_680,51
02:00:00_690,51
02:00:00_700,51
02:00:00_710,51
02:00:00_720,51
02:00:00_730,51
02:00:00_740,51
02:00:00_750,51
02:00:00_760,51
02:00:00_770,51
02:00:00_780,51
02:00:00_790,51
02:00:00_800,51
02:00:00_810,51
02:00:00_820,51
02:00:00_830,51
02:00:00_840,51
02:00:00_850,51
02:00:00_860,51
02:00:00_870,51
02:00:00_880,51
02:00:00_890,51
02:00:00_900,51
02:00:00_910,51
02:00:00_920,51
02:00:00_930,51
02:00:00_940,51
02:00:00_950,51
02:00:00_960,51
02:00:00_970,51
02:00:00_980,51
02:00:00_990,51
02:00:01_000,51
02:00:01_010,51
02:00:01_020,51
02:00:01_030,51
02:00:01_040,51
02:00:01_050,51
